Emp ID,Age,Gender,Designation,Education,Department,Officer/Workman,Domicile,Job level,Years of service,Job satisfaction,Job expectation,Compensation,Benefits,Work life balance,Opportunities for advancement,Recognition rewards,Job security,Work engagement,Aspect 1 enjoy,Aspect 2 enjoy,Aspect 3 enjoy,Job challenges,Motivation,Work valued,Workplace support,Work env improvement,Training programs,Future training topics,Learning resources,Performance appraisal fair,Appraisal improvement,Recommendation,Overall work culture,Company values allign,Communication openness,Diversity inclusion,Professional development,Refinery improvement,Additional comments,Company future success
1,25 - 34,Male,"Assistant Manager, Career & Employee Relations (AMCER)",Post Graduate,Human Resource,Officer,Rest of India,Entry level,4 to 6 years,5,Completely,5,5,5,5,5,5,5,Work that aligns with my skills and interests,Opportunities for professional growth and development,Challenging and stimulating work,Others,Always,Strongly Agree,Yes,,Yes,,Yes,Yes,,Very Likely,5,Strongly Agree,Very open,Very well,Completely supported,Career advancement opportunities,,Extremely confident
2,35 - 44,Male,,Post Graduate,Others,Officer,Rest of India,Mid Level,More than 10 years,3,Moderately,4,4,4,4,4,5,3,Collaboration with colleagues,Opportunities for professional growth and development,Job security,High workload and stress levels,Often,Neutral,Yes,,Yes,,Yes,No,,Likely,3,Neutral,Moderately open,Neutral,Very supported,Work life balance,,Slightly confident
3,35 - 44,Male,Process Manager,Graduate,Others,Officer,Rest of India,Mid Level,More than 10 years,2,Moderately,3,4,4,3,2,5,4,Work that aligns with my skills and interests,Work-life balance,Job security,Inadequate compensation and benefits,Often,Neutral,No,"By setup roles of groups, work environment can be improved. Evaluation of performance is mostly subjective which should be more objective",Yes,Energy Efficiency & Net Zero,Yes,No,Bring objectivity to system. It should improve drastically,Unlikely,3,Strongly disagree,Slightly open,Well,Slightly supported,Recognition and rewards,,Moderately confident
4,35 - 44,Female,Manager,Post Graduate,Material,Officer,Rest of India,Mid Level,More than 10 years,4,Very,4,5,4,4,3,5,4,Collaboration with colleagues,Opportunities for professional growth and development,Job security,Limited opportunities for career advancement,Often,Agree,Yes,Skill based mapping of job allocation; Better succession planning and more autonomy in decision making,Yes,,Yes,No,Estimation of several biases in performance appraisal process; Equal weightage to all departments,Likely,4,Neutral,Moderately open,Neutral,Very supported,Others,Adoption of best practices from other reputed MNCs wrt human resource development and performance evaluation,Extremely confident
5,55 +,Male,,Graduate,Others,Officer,Assam,Executive,More than 10 years,5,Completely,5,5,4,4,4,5,5,Work that aligns with my skills and interests,Job security,Challenging and stimulating work,Poor work-life balance,Often,Agree,Yes,,Yes,,Yes,No,,Very Likely,2,Agree,Moderately open,Neutral,Very supported,Others,,Slightly confident
6,55 +,Male,,Graduate,Others,Officer,Assam,Executive,More than 10 years,5,Very,4,4,3,2,2,4,4,Collaboration with colleagues,Job security,Others,Limited resources and tools to perform the job effectively,Sometimes,Agree,Yes,By more transparency on Annual Appraisal system,Yes,Training on Environment Protection Norms,Yes,No,By adapting more transparency & proper job distribution,Likely,4,Agree,Moderately open,Well,Moderately supported,Career advancement opportunities,Equal opportunities from all,Very confident
7,25 - 34,Male,,Post Graduate,Finance,Workman,Assam,Mid Level,4 to 6 years,4,Very,4,4,4,4,4,4,3,Work that aligns with my skills and interests,Work-life balance,Supportive management,Others,Sometimes,Agree,Yes,,Yes,,Yes,Yes,,Very Likely,4,Agree,Moderately open,Well,Very supported,Career advancement opportunities,,Very confident
8,35 - 44,Male,Process Safety Manager,Graduate,Others,Officer,Rest of India,Mid Level,More than 10 years,4,Very,5,5,5,2,3,5,3,Collaboration with colleagues,Work-life balance,Supportive management,Insufficient training and development,Sometimes,Agree,Yes,"Hands in primary, soft technologies",Yes,"Artificial intelligence, soft technologies",Yes,No,,Likely,4,Neutral,Very open,Neutral,Slightly supported,Diversity and inclusion,,Very confident
9,35 - 44,Female,Manager (Employee Relations),Post Graduate,Human Resource,Officer,Rest of India,Executive,7 to 10 years,5,Very,5,5,5,4,4,5,5,Work that aligns with my skills and interests,Job security,Autonomy and decision-making authority,Others,Always,Agree,Yes,Doing regular review meetings within department,Yes,EPMS; SAP Payroll,Yes,No,Should be linked to cases resolved,Very Likely,5,Strongly Agree,Very open,Very well,Very supported,Communication with management,Meeting of employees with higher management every quarter,Extremely confident
10,55 +,Female,,Post Graduate,Human Resource,Officer,Assam,Senior Level,More than 10 years,4,Very,5,5,4,4,4,5,5,Collaboration with colleagues,Challenging and stimulating work,Autonomy and decision-making authority,Insufficient training and development,Often,Strongly Agree,Yes,,Yes,,Yes,No,,Very Likely,5,Strongly Agree,Very open,Poorly,Very supported,Diversity and inclusion,,Extremely confident
